airlineIATA,destinationIATA,flightNumber,flightNature,flightTypeIATA,scheduleDate,scheduleHour,seatCapacity,sector,terminal,pax,loadFactor,warnings,Country,EU Status,CTA Status,AircraftSizeICAO,PaxLoadFactor,LocalPax,HasWarnings,LowLoadFactor,HighLoadFactor
FR,EIN,2533,A,J,2024-12-04,09:25:00,189,I,T1,161.236,0.853100529100529,,NETHERLANDS,EU,NON CTA,C,0.853100529100529,161.236,False,False,False
FR,DUB,204,A,J,2024-12-04,09:35:00,189,I,T1,177.4288,0.9387767195767196,,IRISH REPUBLIC,EU,CTA,C,0.9387767195767196,177.4288,False,False,False
PC,SAW,1169,A,J,2024-12-04,09:35:00,240,I,T1,157.67610878661088,0.6569837866108786,Pax: Flight # has changed from 1161 to 1169,TURKEY,NON EU,NON CTA,C,0.6569837866108786,157.67610878661088,True,False,False
FR,FAO,5553,A,J,2024-12-04,09:45:00,189,I,T1,178.19,0.9428042328042329,,PORTUGAL,EU,NON CTA,C,0.9428042328042329,178.19,False,False,False
OG,KEF,800,A,J,2024-12-04,10:00:00,195,I,T1,128.25364942528736,0.6577110226937813,Pax: Flight load factor is 26.3 percentage points greater than reference flight load factor,ICELAND,NON EU,NON CTA,C,0.6577110226937813,128.25364942528736,True,False,False
5F,RMO,547,A,J,2024-12-04,10:20:00,186,I,T1,111.15632568221653,0.5976146542054652,Pax: 36 flights have been used for reference,MOLDOVA,NON EU,NON CTA,C,0.5976146542054652,111.15632568221653,True,False,False
FR,NOC,804,A,J,2024-12-04,10:30:00,189,I,T1,123.176,0.6517248677248677,,IRISH REPUBLIC,EU,CTA,C,0.6517248677248677,123.176,False,False,False
FR,BGY,2697,A,J,2024-12-04,10:40:00,197,I,T1,200.94,1.02,Pax: 2 flights have been used for reference,ITALY,EU,NON CTA,C,1.02,200.94,True,False,True
FR,VIE,729,A,J,2024-12-04,10:45:00,186,I,T1,189.49266666666668,1.0187777777777778,,AUSTRIA,EU,NON CTA,C,1.0187777777777778,189.49266666666668,False,False,True
FR,NUE,7633,A,J,2024-12-04,11:05:00,189,I,T1,181.99599999999998,0.9629417989417989,,GERMANY,EU,NON CTA,C,0.9629417989417989,181.99599999999998,False,False,False
FR,PSA,585,A,J,2024-12-04,11:15:00,189,I,T1,171.27,0.9061904761904762,,ITALY,EU,NON CTA,C,0.9061904761904762,171.27,False,False,False
FR,GDN,544,A,J,2024-12-04,11:15:00,189,I,T1,178.882,0.9464656084656085,,POLAND,EU,NON CTA,C,0.9464656084656085,178.882,False,False,False
FR,BUD,1659,A,J,2024-12-04,11:25:00,197,I,T1,161.3000740740741,0.8187821018988533,Pax: Flight # has changed from 2515 to 1659,HUNGARY,EU,NON CTA,C,0.8187821018988533,161.3000740740741,True,False,False
FR,BLQ,195,A,J,2024-12-04,11:30:00,197,I,T1,200.94,1.02,,ITALY,EU,NON CTA,C,1.02,200.94,False,False,True
U2,EDI,311,A,J,2024-12-04,11:35:00,186,D,T1,189.72,1.02,Pax: Flight # has changed from 313 to 311,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,1.02,189.72,True,False,True
FR,VCE,793,A,J,2024-12-04,11:40:00,197,I,T1,200.94,1.02,,ITALY,EU,NON CTA,C,1.02,200.94,False,False,True
FR,MAD,5993,A,J,2024-12-04,11:45:00,189,I,T1,192.78,1.02,Pax: Flight # has changed from 2629 to 5993,SPAIN,EU,NON CTA,C,1.02,192.78,True,False,True
FR,POZ,1751,A,J,2024-12-04,11:45:00,189,I,T1,187.01299999999998,0.9894867724867724,Pax: 2 flights have been used for reference,POLAND,EU,NON CTA,C,0.9894867724867724,187.01299999999998,True,False,False
FR,GOA,973,A,J,2024-12-04,11:45:00,189,I,T1,181.22179383142785,0.9588454700075547,Pax: 30 flights have been used for reference,ITALY,EU,NON CTA,C,0.9588454700075547,181.22179383142785,True,False,False
VF,SAW,1987,A,J,2024-12-04,11:45:00,220,I,T1,170.0953475712664,0.7731606707784836,Pax: 2 flights have been used for reference,TURKEY,NON EU,NON CTA,C,0.7731606707784836,170.0953475712664,True,False,False
PC,SAW,1161,A,J,2024-12-04,11:50:00,240,I,T1,189.32859414225942,0.7888691422594143,Pax: Flight # has changed from 1163 to 1161,TURKEY,NON EU,NON CTA,C,0.7888691422594143,189.32859414225942,True,False,False
FR,CIA,2509,A,J,2024-12-04,11:50:00,197,I,T1,169.47592592592594,0.8602838879488627,,ITALY,EU,NON CTA,C,0.8602838879488627,169.47592592592594,False,False,False
PC,ADB,1531,A,J,2024-12-04,11:50:00,195,I,T1,174.1161290322581,0.8929032258064518,Pax: Flight # has changed from 1527 to 1531,TURKEY,NON EU,NON CTA,C,0.8929032258064518,174.1161290322581,True,False,False
FR,KTW,2472,A,J,2024-12-04,11:55:00,189,I,T1,140.13,0.7414285714285714,,POLAND,EU,NON CTA,C,0.7414285714285714,140.13,False,False,False
EK,DXB,65,A,J,2024-12-04,12:05:00,442,I,T1,181.713661393597,0.41111688098098864,,UNITED ARAB EMIRATES,NON EU,NON CTA,E,0.41111688098098864,181.713661393597,False,False,False
FR,EIN,2538,A,J,2024-12-04,12:20:00,197,I,T1,179.60146031746032,0.9116825396825396,Pax: Flight # has changed from 2533 to 2538,NETHERLANDS,EU,NON CTA,C,0.9116825396825396,179.60146031746032,True,False,False
RK,TIA,8289,A,J,2024-12-04,12:25:00,189,I,T1,179.92000000000002,0.951957671957672,,ALBANIA,NON EU,NON CTA,C,0.951957671957672,179.92000000000002,False,False,False
FR,BCN,8215,A,J,2024-12-04,12:30:00,189,I,T1,191.68399999999997,1.0142010582010583,,SPAIN,EU,NON CTA,C,1.0142010582010583,191.68400000000003,False,False,True
FR,PSR,983,A,J,2024-12-04,12:35:00,189,I,T1,174.73,0.9244973544973545,,ITALY,EU,NON CTA,C,0.9244973544973545,174.73,False,False,False
FR,BRI,1906,A,J,2024-12-04,12:35:00,197,I,T1,200.94,1.02,,ITALY,EU,NON CTA,C,1.02,200.94,False,False,True
XQ,GZT,742,A,J,2024-12-04,12:45:00,189,I,T1,187.09833111553544,0.989938259870558,Pax: 41 flights have been used for reference,TURKEY,NON EU,NON CTA,C,0.989938259870558,187.09833111553544,True,False,False
FR,LIS,1081,A,J,2024-12-04,12:50:00,197,I,T1,173.50160846560848,0.8807188246985203,,PORTUGAL,EU,NON CTA,C,0.8807188246985203,173.50160846560848,False,False,False
FR,HEL,2345,A,J,2024-12-04,13:00:00,197,I,T1,179.574,0.9115431472081219,,FINLAND,EU,NON CTA,C,0.9115431472081219,179.574,False,False,False
ZT,BCN,664W,A,P,2024-12-04,13:10:00,0,I,T1,0,0,,SPAIN,EU,NON CTA,C,0,0,False,True,False
